"name","role","season","episodeName","actorName","gender"
"123","John Knox","Killer",2,"Love Me Dead","LaPaglia, Jonathan","m"
"124","John Raglan","Victim",3,"Knockdown","Polis, Joel","m"
"125","Jolene Granger","Victim",3,"Knockdown",NA,"f"
"126","Jonas Westfall aka Daemon","Victim",2,"Vampire Weekend",NA,"m"
"127","Jordan Shaw","Attempted Murder Victim",2,"Boom! (Part 2)",NA,"f"
"128","Joy McHugh","Killer",4,"Eye of the Beholder","Tuck, Jessica","f"
"129","Justin Hankel","Killer",3,"Pretty Dead","Slavin, Jonathan","m"
"130","Karl Nadir","Killer",1,"Home Is Where the Heart Stops","Papajohn, Michael","m"
"131","Kate Beckett","Attempted Victim",4,"Always","Katic, Stana","f"
"132","Kate Beckett","Attempted Murder Victim",2,"Boom! (Part 2)",NA,"f"
"133","Kate Beckett","Attempted Murder Victim",4,"Kill Shot","Katic, Stana","f"
"134","Kate Beckett","Attempted Murder Victim",3,"Knockout","Katic, Stana","f"
"135","Kendra Pitney","Victim",1,"Flowers For Your Grave",NA,"f"
"136","Ken Fisher","Killer",2,"A Deadly Game","Kelsey, David","m"
"137","Kim Foster","Victim",3,"3XK",NA,"f"
"138","Kitty Canary","Killer",3,"A Deadly Affair","O'Hare, Lisa","f"
"139","Kristina Curtis","Victim",4,"Once Upon a Crime",NA,"f"
"140","Kyle Jennings","Framed Killer",4,"Undead Again","Braaten, Josh","m"
"141","Lance Carlberg","Killer",2,"One Man's Treasure","Woodside, D.B.","m"
"142","Laura Cambridge","Victim",4,"Dial M For Mayor",NA,"f"
"143","Laurie Horn","Conspirator",1,"Hell Hath No Fury","Waltz, Lisa","f"
"144","Leann West","Killer",4,"47 Seconds","Woods, Christine","f"
"145","Lee Travis","Killer",4,"Kill Shot","Campbell, Scott Michael","m"
"146","Lenanne Wellesley","Conspirator",2,"Kill the Messenger","Andre, Jill","f"
"147","Len Levitt aka Leonard \Len\ Levitt","Victim",3,"Murder Most Fowl",NA,"m"
"148","Lenny","Victim",4,"The Blue Butterfly",NA,"m"
"149","Lester Hamilton aka Dr. Lester Hamilton","Victim",4,"Head Case","Macofsky, Tod","m"
"150","Linda Russo","Victim",3,"3XK",NA,"f"
"151","Lisa Jenkins","Killer",2,"Overkill","Claire, Julie","f"
"152","Lou Karnacki","Conspirator",3,"Law & Murder","Davison, Bruce","m"
"153","Maggie Dowd","Killer",1,"A Death in the Family","Geary, Jackie","f"
"154","Manuel Calderon","Killer",3,"Anatomy of a Murder","Sanz, Carlos","m"
"155","Marcus Gates","Killer",3,"3XK","Tergesen, Lee","m"
"156","Marie Subbarao","Victim",3,"Close Encounters of the Murderous Kind",NA,"f"
"157","Martha Rodgers","Hostage",4,"Cops and Robbers","Sullivan, Susan","f"
"158","Martin Danberg","Killer",4,"Linchpin (Part 2)",NA,"m"
"159","Marvin Fisk","Victim",1,"Flowers For Your Grave",NA,"m"
"160","Marvin \Oz\ Osminkowski","Killer",3,"Lucky Stiff","Calderon, Wilmer","m"
"161","Matt Benton","Victim",4,"Demons",NA,"m"
"162","Matthew Freeman aka Crow","Victim",2,"Vampire Weekend",NA,"m"
"163","Max Heller","Victim",1,"Hedge Fund Homeboys","Dow, Creagen","m"
"164","Maya Santori","Victim",3,"A Deadly Affair","Ordoñez, Carolyn","f"
"165","Melanie Benton","Victim",4,"Demons",NA,"f"
"166","Melanie Cavanagh","Victim",1,"A Chill Goes Through Her Veins",NA,"f"
"167","Mia Ganghong","Attempted Murder Victim",4,"Linchpin (Part 2)",NA,"f"
"168","Michael Bailey aka Jake Hendricks","Victim",4,"Til Death Do Us Part",NA,"m"
"169","Michael Grant","Killer",3,"Almost Famous","Anthony-Rodriguez, Philip","m"
"170","Michael Reilly","Victim",4,"Headhunters",NA,"m"
"171","Michelle Lewis","Victim",2,"Tick, Tick, Tick...",NA,"f"
"172","Mike Royce","Victim",3,"To Love and Die in L.A.","Beghe, Jason","m"
"173","Mitch Yancey","Killer",4,"Rise","Ashworth, Landon","m"
"174","Monica Wyatt","Killer",3,"Slice of Death","Vassey, Liz","f"
"175","Mukhta Baylor","Killer",1,"Always Buy Retail","Okumu, Robert","m"
"176","Naomi Allen","Victim",4,"The Limey",NA,"f"
"177","Nazihah Alhabi","Kidnap Victim",3,"Countdown","Soomekh, Bahar","f"
"178","Nelson Blakely","Victim",4,"Pandora (Part 1)",NA,"m"
"179","Nicole Graham","Victim",2,"Wrapped Up in Death",NA,"f"
"180","Nigel Wyndham","Conspirator",4,"The Limey","Shaughnessy, Charles","m"
"181","Nina Burns","Victim",3,"Slice of Death",NA,"f"
"182","Nina Mendola","Kidnapper",1,"Little Girl Lost","Torres, Jacqueline","f"
"183","Odette Morton","Conspirator",4,"A Dance With Death",NA,"f"
"184","Olivia Debiasse","Victim",2,"Kill the Messenger",NA,"f"
